incidente_id,tipo_registro_key,date_key,ubicacion_key,vehicle_type_key,person_key,route_key,accident_type_key,event_type_key,severity_key,positive_alcohol,positive_drug,cord_key
1,1,20240104,11899,1.0,1.0,340.0,4.0,,3.0,N,N,1.0
2,1,20240104,16375,2.0,2.0,452.0,11.0,,2.0,N,N,1.0
3,1,20240215,15211,3.0,3.0,129.0,9.0,,3.0,N,N,2.0
4,1,20240215,13878,4.0,4.0,567.0,5.0,,2.0,N,N,2.0
5,1,20240218,2687,2.0,3.0,196.0,2.0,,4.0,N,N,3.0
6,1,20240218,8406,2.0,1.0,574.0,2.0,,4.0,N,N,3.0
7,1,20240225,8070,5.0,3.0,,5.0,,2.0,N,N,4.0
8,1,20240225,3608,6.0,5.0,481.0,8.0,,2.0,N,S,4.0
9,1,20240307,3704,7.0,6.0,236.0,7.0,,4.0,N,S,5.0
10,1,20240307,8014,2.0,3.0,418.0,8.0,,7.0,N,S,5.0
11,1,20240327,4597,2.0,7.0,578.0,7.0,,4.0,N,N,6.0
12,1,20240101,6003,2.0,3.0,130.0,5.0,,2.0,N,S,7.0
13,1,20240101,2153,2.0,3.0,372.0,10.0,,2.0,N,N,7.0
14,1,20240101,986,2.0,8.0,329.0,5.0,,2.0,N,N,7.0
15,1,20240101,10090,2.0,1.0,174.0,8.0,,2.0,N,N,7.0
16,1,20240101,7498,2.0,9.0,,9.0,,5.0,N,N,7.0
17,1,20240101,10090,2.0,10.0,240.0,10.0,,3.0,N,S,7.0
18,1,20240101,11617,2.0,11.0,434.0,6.0,,2.0,N,N,7.0
19,1,20240101,8627,2.0,12.0,26.0,0.0,,2.0,N,N,7.0
20,1,20240101,5800,2.0,13.0,412.0,7.0,,2.0,N,N,7.0
21,1,20240101,13758,2.0,5.0,427.0,6.0,,4.0,S,S,8.0
22,1,20240101,10683,2.0,14.0,48.0,4.0,,4.0,N,N,8.0
23,1,20240101,7156,2.0,14.0,290.0,0.0,,4.0,N,N,8.0
24,1,20240101,11443,2.0,14.0,366.0,4.0,,4.0,N,N,8.0
25,1,20240101,1904,2.0,15.0,318.0,4.0,,2.0,N,N,8.0
26,1,20240101,1928,2.0,16.0,369.0,4.0,,9.0,N,S,9.0
27,1,20240101,7092,2.0,17.0,408.0,1.0,,4.0,N,N,9.0
28,1,20240101,7409,2.0,18.0,310.0,9.0,,2.0,S,S,10.0
29,1,20240101,1970,2.0,14.0,228.0,10.0,,4.0,N,N,10.0
30,1,20240101,11873,2.0,14.0,403.0,7.0,,4.0,N,N,10.0
31,1,20240101,11545,2.0,17.0,378.0,2.0,,3.0,N,N,11.0
32,1,20240101,11984,2.0,1.0,279.0,0.0,,2.0,N,N,11.0
33,1,20240101,3323,2.0,3.0,227.0,3.0,,4.0,N,N,12.0
34,1,20240101,13908,2.0,19.0,167.0,3.0,,4.0,N,N,12.0
35,1,20240101,10162,2.0,4.0,268.0,0.0,,2.0,N,N,13.0
36,1,20240101,16949,2.0,20.0,359.0,7.0,,3.0,N,N,13.0
37,1,20240101,11633,2.0,8.0,110.0,4.0,,2.0,N,N,14.0
38,1,20240101,502,8.0,21.0,417.0,0.0,,2.0,S,N,14.0
39,1,20240101,6351,7.0,14.0,91.0,5.0,,4.0,N,N,15.0
40,1,20240101,10044,2.0,14.0,518.0,5.0,,2.0,N,N,15.0
41,1,20240101,8620,2.0,14.0,602.0,0.0,,5.0,N,S,15.0
42,1,20240101,122,2.0,14.0,163.0,10.0,,4.0,N,N,15.0
43,1,20240101,16581,1.0,8.0,40.0,6.0,,4.0,N,N,16.0
44,1,20240101,4990,2.0,5.0,613.0,4.0,,4.0,N,N,16.0
45,1,20240101,16193,9.0,5.0,42.0,2.0,,2.0,N,N,17.0
46,1,20240101,1621,4.0,22.0,615.0,2.0,,2.0,N,S,17.0
47,1,20240101,17019,10.0,3.0,190.0,11.0,,3.0,N,S,18.0
48,1,20240101,9225,2.0,1.0,162.0,1.0,,2.0,N,N,18.0
49,1,20240101,8010,2.0,3.0,109.0,9.0,,4.0,S,N,19.0
50,1,20240101,640,2.0,8.0,29.0,8.0,,3.0,N,S,20.0
51,1,20240101,252,2.0,1.0,,3.0,,2.0,N,N,20.0
52,1,20240101,10998,2.0,8.0,208.0,1.0,,2.0,N,N,21.0
53,1,20240101,2662,2.0,23.0,606.0,8.0,,2.0,N,N,21.0
54,1,20240101,12906,2.0,24.0,508.0,11.0,,2.0,N,N,21.0
55,1,20240101,6273,2.0,10.0,595.0,5.0,,2.0,N,S,21.0
56,1,20240101,2043,2.0,25.0,425.0,2.0,,2.0,N,N,21.0
57,1,20240101,17136,2.0,13.0,371.0,2.0,,2.0,N,S,21.0
58,1,20240101,3239,2.0,8.0,452.0,6.0,,4.0,N,N,22.0
59,1,20240101,11769,2.0,26.0,239.0,4.0,,1.0,N,N,22.0
60,1,20240101,1089,2.0,14.0,335.0,1.0,,4.0,N,N,23.0
61,1,20240101,16298,2.0,14.0,317.0,8.0,,4.0,N,N,23.0
62,1,20240101,16088,2.0,27.0,225.0,0.0,,4.0,N,N,23.0
63,1,20240101,6538,2.0,7.0,316.0,9.0,,2.0,S,N,24.0
64,1,20240101,16238,2.0,14.0,613.0,8.0,,4.0,N,S,24.0
65,1,20240101,3813,2.0,14.0,315.0,5.0,,4.0,N,S,24.0
66,1,20240101,7471,2.0,14.0,422.0,11.0,,4.0,N,S,24.0
67,1,20240101,8669,2.0,14.0,318.0,9.0,,7.0,N,N,24.0
68,1,20240101,6141,2.0,14.0,127.0,1.0,,4.0,N,S,24.0
69,1,20240101,4907,2.0,28.0,608.0,4.0,,2.0,N,N,25.0
70,1,20240101,4503,2.0,29.0,307.0,2.0,,2.0,N,N,25.0
71,1,20240101,5743,8.0,30.0,363.0,1.0,,3.0,N,S,25.0
72,1,20240101,10373,7.0,14.0,431.0,6.0,,6.0,N,N,26.0
73,1,20240101,4329,2.0,8.0,509.0,1.0,,6.0,N,S,26.0
74,1,20240101,3551,7.0,5.0,443.0,8.0,,2.0,N,N,27.0
75,1,20240101,14053,4.0,3.0,260.0,11.0,,1.0,N,S,27.0
76,1,20240101,16058,4.0,23.0,169.0,3.0,,4.0,N,N,28.0
77,1,20240101,3359,2.0,7.0,253.0,3.0,,4.0,N,N,28.0
78,1,20240101,10972,2.0,6.0,581.0,0.0,,2.0,N,N,29.0
79,1,20240101,6774,2.0,31.0,359.0,7.0,,4.0,N,N,29.0
80,1,20240101,9006,2.0,14.0,427.0,9.0,,4.0,N,S,30.0
81,1,20240101,16690,12.0,32.0,508.0,11.0,,4.0,N,S,30.0
82,1,20240102,7182,5.0,26.0,417.0,4.0,,1.0,N,N,31.0
83,1,20240102,7376,2.0,6.0,,4.0,,2.0,N,N,31.0
84,1,20240102,3604,5.0,26.0,123.0,4.0,,2.0,N,N,32.0
85,1,20240102,15761,5.0,33.0,529.0,8.0,,2.0,N,N,32.0
86,1,20240102,3770,5.0,33.0,128.0,7.0,,2.0,N,N,32.0
87,1,20240102,13811,5.0,34.0,396.0,11.0,,6.0,N,N,32.0
88,1,20240101,7118,7.0,14.0,,2.0,,4.0,N,S,33.0
89,1,20240101,1521,2.0,23.0,,3.0,,4.0,N,S,33.0
90,1,20240102,10107,5.0,28.0,206.0,10.0,,4.0,N,N,34.0
91,1,20240102,5502,2.0,17.0,391.0,7.0,,9.0,N,S,34.0
92,1,20240102,15951,2.0,6.0,634.0,5.0,,2.0,N,N,35.0
93,1,20240102,539,2.0,35.0,,6.0,,7.0,N,N,35.0
94,1,20240102,12783,2.0,36.0,337.0,4.0,,1.0,N,N,36.0
95,1,20240102,4829,2.0,26.0,509.0,11.0,,1.0,S,S,36.0
96,1,20240102,8264,3.0,37.0,132.0,8.0,,7.0,N,N,37.0
97,1,20240102,2389,2.0,3.0,,4.0,,4.0,N,S,38.0
98,1,20240102,7710,1.0,7.0,535.0,3.0,,3.0,N,N,39.0
99,1,20240102,3786,2.0,6.0,124.0,3.0,,2.0,N,S,39.0
100,1,20240102,2620,4.0,28.0,344.0,10.0,,7.0,N,N,40.0
101,1,20240102,14298,2.0,38.0,29.0,11.0,,2.0,N,N,40.0
102,1,20240102,585,2.0,14.0,,4.0,,4.0,N,N,40.0
103,1,20240102,329,7.0,5.0,244.0,3.0,,3.0,N,N,41.0
104,1,20240102,11754,6.0,5.0,24.0,3.0,,7.0,N,N,41.0
105,1,20240102,14708,6.0,25.0,,0.0,,3.0,N,N,41.0
106,1,20240102,727,4.0,8.0,239.0,6.0,,1.0,N,S,42.0
107,1,20240102,13573,4.0,6.0,290.0,4.0,,1.0,N,N,42.0
108,1,20240102,14346,12.0,1.0,170.0,4.0,,2.0,N,S,42.0
109,1,20240102,5647,2.0,23.0,355.0,9.0,,4.0,N,N,43.0
110,1,20240102,7439,2.0,39.0,238.0,7.0,,4.0,N,N,43.0
111,1,20240101,3739,13.0,36.0,508.0,5.0,,5.0,N,N,44.0
112,1,20240101,14181,2.0,7.0,234.0,6.0,,2.0,N,S,44.0
113,1,20240102,15661,2.0,5.0,,6.0,,4.0,N,N,45.0
114,1,20240102,7993,2.0,37.0,434.0,5.0,,4.0,N,N,45.0
115,1,20240102,2477,4.0,23.0,440.0,6.0,,1.0,N,S,46.0
116,1,20240102,16745,14.0,6.0,526.0,11.0,,2.0,N,S,47.0
117,1,20240102,10846,2.0,3.0,22.0,4.0,,2.0,N,N,47.0
118,1,20240102,16643,2.0,17.0,336.0,6.0,,2.0,N,N,47.0
119,1,20240102,7624,2.0,14.0,173.0,6.0,,4.0,N,S,47.0
120,1,20240102,6971,2.0,32.0,279.0,3.0,,3.0,N,N,48.0
121,1,20240102,6347,2.0,5.0,243.0,3.0,,2.0,N,N,48.0
122,1,20240102,16171,2.0,4.0,395.0,5.0,,4.0,N,N,49.0
123,1,20240102,11246,2.0,40.0,180.0,3.0,,4.0,N,N,49.0
124,1,20240102,13832,2.0,41.0,49.0,5.0,,4.0,N,S,49.0
125,1,20240102,8993,10.0,8.0,75.0,6.0,,2.0,N,N,50.0
126,1,20240102,182,10.0,42.0,,7.0,,1.0,N,S,50.0
127,1,20240102,3283,15.0,3.0,621.0,3.0,,3.0,N,N,51.0
128,1,20240102,14660,15.0,19.0,232.0,10.0,,1.0,N,N,52.0
129,1,20240102,6626,2.0,1.0,26.0,0.0,,4.0,N,S,53.0
130,1,20240102,1792,2.0,1.0,267.0,4.0,,4.0,N,N,53.0
131,1,20240102,13146,2.0,13.0,237.0,2.0,,4.0,N,S,53.0
132,1,20240102,14356,2.0,4.0,50.0,8.0,,2.0,N,N,54.0
133,1,20240102,8168,2.0,43.0,222.0,10.0,,8.0,N,N,54.0
134,1,20240102,5834,1.0,7.0,323.0,1.0,,5.0,N,S,55.0
135,1,20240102,2323,2.0,22.0,,3.0,,2.0,N,N,56.0
136,1,20240102,667,2.0,23.0,257.0,3.0,,2.0,N,N,56.0
137,1,20240102,16666,2.0,24.0,377.0,6.0,,4.0,N,N,56.0
138,1,20240102,8218,2.0,44.0,357.0,3.0,,4.0,N,N,56.0
139,1,20240102,13471,2.0,45.0,307.0,10.0,,4.0,N,N,56.0
140,1,20240102,10561,4.0,3.0,410.0,4.0,,4.0,N,N,57.0
141,1,20240102,13460,4.0,7.0,243.0,2.0,,3.0,N,N,58.0
142,1,20240102,16996,2.0,17.0,1.0,0.0,,2.0,N,N,58.0
143,1,20240102,660,2.0,46.0,639.0,10.0,,2.0,N,N,58.0
144,1,20240102,2243,2.0,36.0,,3.0,,3.0,N,S,59.0
145,1,20240102,1168,2.0,19.0,,11.0,,3.0,N,S,59.0
146,1,20240102,6959,2.0,47.0,10.0,6.0,,3.0,N,N,59.0
147,1,20240102,1727,2.0,48.0,282.0,5.0,,4.0,N,S,60.0
148,1,20240102,6283,2.0,22.0,515.0,10.0,,4.0,N,N,60.0
149,1,20240102,1789,2.0,5.0,523.0,7.0,,4.0,N,N,60.0
150,1,20240102,3761,1.0,8.0,61.0,4.0,,6.0,N,S,61.0
151,1,20240102,14097,2.0,5.0,464.0,3.0,,2.0,N,N,61.0
152,1,20240102,5436,2.0,49.0,570.0,4.0,,2.0,N,S,61.0
153,1,20240102,15454,2.0,50.0,260.0,10.0,,2.0,N,N,61.0
154,1,20240103,6036,2.0,4.0,235.0,4.0,,2.0,N,N,62.0
155,1,20240103,16064,2.0,6.0,406.0,4.0,,2.0,S,N,62.0
156,1,20240102,5057,15.0,21.0,216.0,5.0,,3.0,N,S,63.0
157,1,20240102,1392,2.0,7.0,573.0,4.0,,6.0,N,N,64.0
158,1,20240102,13545,2.0,51.0,398.0,9.0,,8.0,N,N,64.0
159,1,20240103,3763,2.0,7.0,483.0,4.0,,1.0,S,N,65.0
160,1,20240103,7344,2.0,3.0,,1.0,,2.0,N,N,66.0
161,1,20240103,16489,2.0,52.0,,9.0,,2.0,N,N,66.0
162,1,20240103,4939,2.0,33.0,187.0,4.0,,2.0,N,N,66.0
163,1,20240103,16287,4.0,19.0,94.0,9.0,,1.0,N,N,67.0
164,1,20240103,1418,4.0,53.0,236.0,7.0,,7.0,N,N,67.0
165,1,20240103,5051,2.0,6.0,208.0,1.0,,4.0,N,S,68.0
166,1,20240103,5726,2.0,6.0,261.0,1.0,,4.0,N,N,68.0
167,1,20240103,7961,2.0,1.0,,4.0,,2.0,N,S,69.0
168,1,20240103,4997,2.0,53.0,149.0,7.0,,6.0,N,N,69.0
169,1,20240103,2459,5.0,18.0,160.0,3.0,,2.0,N,S,70.0
170,1,20240103,2792,2.0,32.0,429.0,1.0,,7.0,N,N,70.0
171,1,20240103,7658,16.0,8.0,536.0,10.0,,3.0,N,N,71.0
172,1,20240103,5482,16.0,11.0,166.0,1.0,,3.0,N,N,71.0
173,1,20240103,14637,16.0,11.0,552.0,8.0,,3.0,N,N,71.0
174,1,20240103,1339,16.0,11.0,,10.0,,3.0,N,S,71.0
175,1,20240103,13652,2.0,2.0,477.0,9.0,,1.0,N,N,71.0
176,1,20240103,14879,10.0,4.0,490.0,3.0,,3.0,N,N,72.0
177,1,20240103,15551,12.0,26.0,542.0,6.0,,2.0,N,N,72.0
178,1,20240103,1576,2.0,3.0,,1.0,,4.0,N,N,73.0
179,1,20240103,14521,2.0,22.0,205.0,11.0,,4.0,N,N,73.0
180,1,20240103,3808,6.0,3.0,341.0,7.0,,4.0,N,N,74.0
181,1,20240103,15452,17.0,4.0,156.0,1.0,,4.0,N,S,74.0
182,1,20240103,15431,2.0,14.0,248.0,8.0,,4.0,N,S,75.0
183,1,20240103,15888,7.0,14.0,521.0,5.0,,4.0,N,S,75.0
184,1,20240103,12686,2.0,14.0,360.0,7.0,,4.0,N,S,75.0
185,1,20240103,78,2.0,8.0,,0.0,,4.0,N,N,76.0
186,1,20240514,7998,2.0,8.0,,11.0,,2.0,S,N,77.0
187,1,20240618,7998,1.0,5.0,163.0,7.0,,7.0,N,N,78.0
188,1,20240618,14924,1.0,54.0,59.0,1.0,,8.0,N,N,78.0
189,1,20240618,16695,2.0,18.0,301.0,11.0,,2.0,S,N,78.0
190,1,20240620,14158,2.0,7.0,138.0,3.0,,4.0,N,N,79.0
191,1,20240620,3774,2.0,51.0,283.0,8.0,,4.0,N,N,79.0
192,1,20240625,14532,5.0,3.0,404.0,2.0,,2.0,N,N,80.0
193,1,20240625,7778,5.0,9.0,32.0,3.0,,5.0,N,N,80.0
194,1,20240625,2548,7.0,8.0,531.0,3.0,,9.0,S,N,80.0
195,1,20240625,5422,4.0,4.0,99.0,6.0,,5.0,N,N,81.0
196,1,20240625,3716,2.0,4.0,245.0,6.0,,2.0,S,S,81.0
197,1,20240625,16224,2.0,22.0,248.0,9.0,,3.0,N,S,81.0
198,1,20240625,10149,2.0,55.0,260.0,8.0,,2.0,N,S,81.0
199,1,20240705,16298,2.0,5.0,199.0,9.0,,2.0,S,S,82.0
200,1,20240705,13871,2.0,8.0,638.0,9.0,,2.0,N,S,83.0
201,1,20240705,5776,2.0,23.0,262.0,5.0,,2.0,N,S,83.0
202,1,20240705,4647,2.0,26.0,305.0,9.0,,5.0,S,N,83.0
203,1,20240705,10762,2.0,33.0,471.0,8.0,,3.0,N,N,83.0
204,1,20240705,10450,2.0,33.0,548.0,10.0,,2.0,N,N,83.0
205,1,20240705,2786,2.0,33.0,450.0,5.0,,2.0,N,N,83.0
206,1,20240705,4793,2.0,10.0,140.0,11.0,,2.0,N,N,83.0
207,1,20240718,14619,4.0,8.0,3.0,5.0,,3.0,S,N,84.0
208,1,20240718,4207,2.0,3.0,158.0,10.0,,2.0,S,N,85.0
209,1,20240718,303,2.0,56.0,8.0,7.0,,7.0,N,S,85.0
210,1,20240718,3757,2.0,57.0,616.0,10.0,,5.0,N,S,85.0
211,1,20240718,8341,2.0,57.0,257.0,4.0,,5.0,N,N,85.0
212,1,20240718,7586,2.0,57.0,630.0,1.0,,5.0,N,N,85.0
213,1,20240822,11572,2.0,6.0,339.0,2.0,,4.0,S,N,86.0
214,1,20240822,15556,2.0,14.0,193.0,2.0,,4.0,N,S,86.0
215,1,20240822,3260,2.0,14.0,595.0,2.0,,4.0,N,N,86.0
216,1,20240822,13454,2.0,58.0,446.0,3.0,,4.0,N,S,86.0
217,1,20241017,13141,4.0,26.0,428.0,1.0,,6.0,N,S,87.0
218,1,20241017,1694,2.0,21.0,285.0,5.0,,2.0,N,N,87.0
219,1,20241017,16687,2.0,51.0,327.0,9.0,,2.0,N,S,87.0
220,1,20241017,3261,2.0,59.0,406.0,1.0,,2.0,N,N,87.0
221,1,20241017,1030,4.0,4.0,256.0,5.0,,5.0,S,S,88.0
222,1,20241017,13917,2.0,17.0,568.0,1.0,,2.0,N,N,88.0
223,1,20241017,14552,2.0,10.0,194.0,9.0,,2.0,N,N,88.0
224,1,20241017,10486,2.0,12.0,231.0,1.0,,2.0,N,N,88.0
225,1,20241017,5411,2.0,44.0,99.0,10.0,,2.0,N,N,88.0
226,1,20241219,14690,2.0,4.0,314.0,3.0,,3.0,S,N,89.0
227,1,20241219,4090,2.0,1.0,,3.0,,6.0,N,N,89.0
228,1,20240103,4705,3.0,48.0,460.0,0.0,,3.0,N,S,90.0
229,1,20240103,2082,7.0,3.0,27.0,0.0,,4.0,N,N,91.0
230,1,20240103,12433,2.0,8.0,98.0,2.0,,4.0,N,N,91.0
231,1,20240103,15170,4.0,23.0,241.0,9.0,,3.0,N,N,92.0
232,1,20240103,10994,9.0,5.0,437.0,4.0,,4.0,N,N,93.0
233,1,20240103,10535,2.0,19.0,251.0,1.0,,4.0,N,N,94.0
234,1,20240103,4240,2.0,2.0,335.0,11.0,,4.0,N,S,94.0
235,1,20240103,12368,4.0,19.0,551.0,8.0,,3.0,N,N,95.0
236,1,20240103,581,2.0,14.0,,8.0,,7.0,N,S,96.0
237,1,20240103,13202,2.0,39.0,329.0,2.0,,6.0,N,N,96.0
238,1,20240103,8258,7.0,4.0,424.0,11.0,,4.0,N,S,97.0
239,1,20240103,1429,2.0,4.0,51.0,3.0,,4.0,N,N,97.0
240,1,20240103,6763,2.0,23.0,281.0,7.0,,2.0,N,S,98.0
241,1,20240103,13863,2.0,60.0,,7.0,,3.0,N,N,98.0
242,1,20240103,2547,12.0,1.0,,10.0,,2.0,N,S,99.0
243,1,20240103,2510,2.0,6.0,492.0,3.0,,2.0,N,S,99.0
244,1,20240103,13858,2.0,61.0,9.0,3.0,,3.0,N,N,99.0
245,1,20240103,16650,2.0,24.0,245.0,10.0,,3.0,N,N,99.0
246,1,20240103,9217,2.0,44.0,26.0,9.0,,2.0,N,N,99.0
247,1,20240103,7220,2.0,62.0,583.0,11.0,,2.0,N,S,99.0
248,1,20240103,13499,9.0,23.0,336.0,5.0,,4.0,N,N,100.0
249,1,20240103,888,7.0,8.0,412.0,2.0,,2.0,N,N,100.0
250,1,20240103,16193,2.0,18.0,66.0,5.0,,3.0,N,N,100.0
251,1,20240103,11274,2.0,26.0,377.0,7.0,,4.0,N,N,101.0
252,1,20240103,4954,2.0,32.0,338.0,4.0,,4.0,N,N,101.0
253,1,20240103,13989,2.0,63.0,24.0,8.0,,4.0,N,N,101.0
254,1,20240103,6694,2.0,64.0,410.0,7.0,,4.0,N,N,101.0
255,1,20240103,2753,2.0,64.0,98.0,4.0,,4.0,N,S,101.0
256,1,20240103,4504,2.0,65.0,240.0,1.0,,1.0,N,N,101.0
257,1,20240103,14121,2.0,66.0,50.0,1.0,,4.0,N,S,101.0
258,1,20240103,7091,2.0,7.0,547.0,4.0,,2.0,N,N,102.0
259,1,20240103,5964,17.0,3.0,507.0,8.0,,5.0,N,S,103.0
260,1,20240103,10056,2.0,7.0,467.0,9.0,,4.0,N,N,104.0
